[train_onemodel - 2018-11-29 01:07:02,439 - INFO] at epoch:   9, under train mode, unlabeled_data dice: 0.767 
[train_onemodel - 2018-11-29 01:07:04,682 - INFO] at epoch:   9, under train mode, val_data dice: 0.771 
[train_onemodel - 2018-11-29 01:07:07,705 - INFO] at epoch:   9, under eval mode, labeled_data dice: 0.773 
[train_onemodel - 2018-11-29 01:07:19,564 - INFO] at epoch:   9, under eval mode, unlabeled_data dice: 0.789 
[train_onemodel - 2018-11-29 01:07:21,705 - INFO] at epoch:   9, under eval mode, val_data dice: 0.794 
[train_onemodel - 2018-11-29 01:07:35,651 - INFO] at epoch:  10, under train mode, labeled_data dice: 0.723 
[train_onemodel - 2018-11-29 01:07:48,725 - INFO] at epoch:  10, under train mode, unlabeled_data dice: 0.730 
[train_onemodel - 2018-11-29 01:07:50,954 - INFO] at epoch:  10, under train mode, val_data dice: 0.741 
[train_onemodel - 2018-11-29 01:07:54,172 - INFO] at epoch:  10, under eval mode, labeled_data dice: 0.703 
[train_onemodel - 2018-11-29 01:08:05,913 - INFO] at epoch:  10, under eval mode, unlabeled_data dice: 0.710 
[train_onemodel - 2018-11-29 01:08:08,005 - INFO] at epoch:  10, under eval mode, val_data dice: 0.716 
[train_onemodel - 2018-11-29 01:08:22,049 - INFO] at epoch:  11, under train mode, labeled_data dice: 0.768 
[train_onemodel - 2018-11-29 01:08:35,372 - INFO] at epoch:  11, under train mode, unlabeled_data dice: 0.768 
[train_onemodel - 2018-11-29 01:08:37,691 - INFO] at epoch:  11, under train mode, val_data dice: 0.774 
[train_onemodel - 2018-11-29 01:08:40,794 - INFO] at epoch:  11, under eval mode, labeled_data dice: 0.762 
[train_onemodel - 2018-11-29 01:08:53,000 - INFO] at epoch:  11, under eval mode, unlabeled_data dice: 0.763 
[train_onemodel - 2018-11-29 01:08:55,018 - INFO] at epoch:  11, under eval mode, val_data dice: 0.770 
[train_onemodel - 2018-11-29 01:09:08,669 - INFO] at epoch:  12, under train mode, labeled_data dice: 0.784 
[train_onemodel - 2018-11-29 01:09:21,599 - INFO] at epoch:  12, under train mode, unlabeled_data dice: 0.772 
[train_onemodel - 2018-11-29 01:09:23,866 - INFO] at epoch:  12, under train mode, val_data dice: 0.764 
[train_onemodel - 2018-11-29 01:09:27,024 - INFO] at epoch:  12, under eval mode, labeled_data dice: 0.802 
[train_onemodel - 2018-11-29 01:09:38,922 - INFO] at epoch:  12, under eval mode, unlabeled_data dice: 0.786 
[train_onemodel - 2018-11-29 01:09:40,972 - INFO] at epoch:  12, under eval mode, val_data dice: 0.787 
[train_onemodel - 2018-11-29 01:09:54,792 - INFO] at epoch:  13, under train mode, labeled_data dice: 0.782 
[train_onemodel - 2018-11-29 01:10:07,655 - INFO] at epoch:  13, under train mode, unlabeled_data dice: 0.775 
[train_onemodel - 2018-11-29 01:10:09,893 - INFO] at epoch:  13, under train mode, val_data dice: 0.781 
