,dev,lab,unlab,val
0,0.00012390358564376723,0.0001203181889370451,0.00012415319078972538,0.00013004051708356617
1,0.05429202735853882,0.05327166955416593,0.05290180546826271,0.0561022941596233
2,0.3139827496730364,0.3146742295760375,0.3089915057801336,0.30960054317345986
3,0.612300370289729,0.6518629835202144,0.6472818360630287,0.6469588270554175
4,0.6872728879635153,0.7196266702734507,0.7101622550243349,0.721591322697126
5,0.7162123735134417,0.7455589748345889,0.742464947054186,0.727382866694377
6,0.6990987268777996,0.7262834144326357,0.7111726329987307,0.6671989649534225
7,0.7365773599881394,0.7583867907524109,0.7491366764149038,0.7349634175117197
8,0.7037551150872159,0.7081580293866307,0.707931821245745,0.6959865109278606
9,0.7042522274530852,0.6918798269560705,0.7060506431812258,0.6862027101791826
10,0.7559270881689509,0.7834694247979384,0.7694771383900239,0.7581601463831386
11,0.7151772322563026,0.7304492621467661,0.735637742999089,0.7172251366651974
12,0.7397550096878637,0.7865027017318286,0.7572309523461811,0.756661019875453
13,0.728775933614144,0.7589650515180368,0.739320761755288,0.7274060464822326
14,0.7527230134377113,0.7575072542979165,0.7509662199451266,0.7273059553824939
15,0.6743412201221171,0.7232758374168323,0.6930687288203876,0.6789011107041285
16,0.7782411717451538,0.8044993195396202,0.7947987628270347,0.7806844637944148
17,0.7859709560871126,0.8128259949959239,0.7925926007420182,0.7878997335067163
18,0.7669660682861621,0.8135100924051727,0.7896511537482944,0.780447525244493
19,0.6938215099848233,0.708653194973102,0.714460365204926,0.687738978748138
20,0.7218745832259839,0.7579667791724204,0.7388708444244896,0.7270972750507869
21,0.821467837003561,0.8716331800589194,0.826565357934998,0.8203816753167374
22,0.8301404384466319,0.8611855185948887,0.8271073905818437,0.816006794342628
23,0.8196435689926146,0.8476276317468053,0.8139066074986053,0.8080782926999605
24,0.7182200298859523,0.737786054611206,0.7324899131993212,0.7113075196743011
25,0.8227997156289909,0.8658169760153844,0.827464374648519,0.8166178817932422
26,0.7716102755986726,0.824103370308876,0.7834987844329285,0.7728138400958136
27,0.7836146492224472,0.8347169367166665,0.7985173993800068,0.7834880934311793
28,0.8075502106776604,0.8667152523994445,0.8232930150376746,0.814065735615217
29,0.8039724157406734,0.8589628957785092,0.8223853776971969,0.8082509540594541
30,0.8068479464604305,0.8803291469812395,0.8144804112882504,0.8103680720696085
31,0.7978662935587073,0.8658100309280251,0.8089509772249008,0.8038958081832299
32,0.8177174760745122,0.8917538615373465,0.8288872087576303,0.8232193919328542
33,0.824675425657859,0.8964351541720904,0.8269235743815642,0.8200794990246112
34,0.8003844490418068,0.8649705132612815,0.817076926130846,0.7999750233613531
35,0.8181979463650628,0.8845876489694304,0.8222337245941168,0.8139095508135283
36,0.8160872844549327,0.8922344285708206,0.8294091718742643,0.814775893321404
37,0.8153026622075302,0.8883862919532335,0.8259192622569669,0.8123326402444105
38,0.8273042348714975,0.8928365455223963,0.830234240192965,0.8219193605276253
39,0.7588530132403737,0.8169622879761917,0.7759917848081479,0.7577375430327196
40,0.8307075555507952,0.879661086660165,0.8278534147394713,0.8124185626323406
41,0.8323363854334906,0.9033998010250238,0.8353567274938143,0.8246035534601945
42,0.8364280040447529,0.9079759934773809,0.8376687485769574,0.8236139655113223
43,0.8261899507962739,0.9126746906683995,0.8288303247417315,0.8157925404035127
44,0.818990601026095,0.8980736847107226,0.8277296032532151,0.8156305157221279
45,0.8175388327011693,0.8981147488722434,0.8267427524888372,0.8184033866112046
46,0.8042654674786788,0.8905112640215801,0.8201416113290444,0.8078062717731183
47,0.8198462724685667,0.8914340195747521,0.8287170706025089,0.8216818002554086
48,0.8288389325141909,0.9053655415773392,0.8315486842609315,0.8208092194337111
49,0.8312169918647179,0.9119055890119995,0.8345705401466548,0.8226603595110085
50,0.8344164536549493,0.908220417224444,0.8339035455002848,0.8231769415048452
51,0.8198524236679077,0.9101685675290915,0.8355152811630661,0.8241527566542993
52,0.8363371445582463,0.9268772728168047,0.8372003473431231,0.8289201048704294
53,0.833127492207747,0.9224334622804935,0.839137554958642,0.8310677285377793
54,0.8215582077319805,0.9201002487769494,0.8323444617799969,0.8230980240381681
55,0.8342568214123067,0.9242653365318592,0.8372889158237412,0.8247844118338362
56,0.8390082533542926,0.9259108110116078,0.839633559606161,0.8302466346667366
57,0.84045872596594,0.9318040254024358,0.8382969428257767,0.8316898455986611
